match_id,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire,reserve_umpire,tv_umpire,match_referee,result,winner_by_runs,winner_by_wicket
1119502,India,Australia,male,2017/18,43018,Australia tour of India,2,Barsapara Cricket Stadium,Guwahati,Australia,field,JP Behrendorff,Nitin Menon,CK Nandan,AK Chaudhary,C Shamshuddin,RB Richardson,Australia,0,8
1119542,England,Australia,male,2018,43278,Australia tour of England,Edgbaston,Edgbaston,Birmingham,Australia,field,AU Rashid,MA Gough,AG Wharf,RT Robinson,RJ Bailey,RS Madugalle,England,28,0
1119543,England,India,male,2018,43284,India tour of Ireland and England,1,Old Trafford,Manchester,India,field,Kuldeep Yadav,AG Wharf,RJ Bailey,MA Gough,RT Robinson,DC Boon,India,0,8
1119545,England,India,male,2018,43289,India tour of Ireland and England,3,County Ground,Bristol,India,field,RG Sharma,RT Robinson,RJ Bailey,AG Wharf,MA Gough,DC Boon,India,0,7
1120093,India,New Zealand,male,2017/18,43040,New Zealand tour of India,1,Arun Jaitley Stadium,Delhi,New Zealand,field,S Dhawan,C Shamshuddin,Nitin Menon,CK Nandan,AK Chaudhary,BC Broad,India,53,0
1120094,New Zealand,India,male,2017/18,43043,New Zealand tour of India,2,Saurashtra Cricket Association Stadium,Rajkot,New Zealand,bat,C Munro,AK Chaudhary,CK Nandan,Nitin Menon,C Shamshuddin,BC Broad,New Zealand,40,0
1120095,India,New Zealand,male,2017/18,43046,New Zealand tour of India,3,Greenfield International Stadium,Thiruvananthapuram,New Zealand,field,JJ Bumrah,AK Chaudhary,Nitin Menon,C Shamshuddin,CK Nandan,BC Broad,India,6,0
1120291,Sri Lanka,Pakistan,male,2017/18,43034,Sri Lanka tour of United Arab Emirates and Pakistan,1,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Usman Shinwari,Shozab Raza,Ahsan Raza,Asif Yaqoob,Ahmed Shahab,AJ Pycroft,Pakistan,0,7
1120292,Sri Lanka,Pakistan,male,2017/18,43035,Sri Lanka tour of United Arab Emirates and Pakistan,2,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,field,Shadab Khan,Ahmed Shahab,Shozab Raza,Asif Yaqoob,Ahsan Raza,AJ Pycroft,Pakistan,0,2
1120293,Pakistan,Sri Lanka,male,2017/18,43037,Sri Lanka tour of United Arab Emirates and Pakistan,3,Gaddafi Stadium,Lahore,Sri Lanka,field,Shoaib Malik,Ahmed Shahab,Ahsan Raza,Rashid Riaz,Shozab Raza,AJ Pycroft,Pakistan,36,0
1122285,India,South Africa,male,2017/18,43149,India tour of South Africa,1,The Wanderers Stadium,Johannesburg,South Africa,field,B Kumar,AT Holdstock,S George,A Paleker,BP Jele,AJ Pycroft,India,28,0
1122286,India,South Africa,male,2017/18,43152,India tour of South Africa,2,SuperSport Park,Centurion,South Africa,field,H Klaasen,A Paleker,BP Jele,S George,AT Holdstock,AJ Pycroft,South Africa,0,6
1122287,India,South Africa,male,2017/18,43155,India tour of South Africa,3,Newlands,Cape Town,South Africa,field,SK Raina,BP Jele,S George,A Paleker,AT Holdstock,AJ Pycroft,India,7,0
1122729,India,Sri Lanka,male,2017/18,43089,Sri Lanka tour of India,1,Barabati Stadium,Cuttack,Sri Lanka,field,YS Chahal,Nitin Menon,CK Nandan,AY Dandekar,AK Chaudhary,JJ Crowe,India,93,0
1122730,India,Sri Lanka,male,2017/18,43091,Sri Lanka tour of India,2,Holkar Cricket Stadium,Indore,Sri Lanka,field,RG Sharma,AK Chaudhary,CK Nandan,AY Dandekar,Nitin Menon,JJ Crowe,India,88,0
1122731,Sri Lanka,India,male,2017/18,43093,Sri Lanka tour of India,3,Wankhede Stadium,Mumbai,India,field,JD Unadkat,AK Chaudhary,Nitin Menon,AY Dandekar,CK Nandan,JJ Crowe,India,0,5
1130746,Bangladesh,Sri Lanka,male,2017/18,43146,Sri Lanka tour of Bangladesh,1,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,BKG Mendis,Sharfuddoula,Anisur Rahman,Mahfuzur Rahman,Masudur Rahman,DC Boon,Sri Lanka,0,6
1130747,Sri Lanka,Bangladesh,male,2017/18,43149,Sri Lanka tour of Bangladesh,2,Sylhet International Cricket Stadium,0,Bangladesh,field,BKG Mendis,Sharfuddoula,Masudur Rahman,Gazi Sohel,Anisur Rahman,DC Boon,Sri Lanka,75,0
1133817,India,Sri Lanka,male,2017/18,43165,Nidahas Trophy,1,"R.Premadasa Stadium, Khettarama",Colombo,Sri Lanka,field,MDKJ Perera,REJ Martinesz,RR Wimalasiri,ID Gunawardene,LE Hannibal,BC Broad,Sri Lanka,0,5
1133818,Bangladesh,India,male,2017/18,43167,Nidahas Trophy,2,"R.Premadasa Stadium, Khettarama",Colombo,India,field,V Shankar,REJ Martinesz,LE Hannibal,ID Gunawardene,RR Wimalasiri,BC Broad,India,0,6
1133819,Sri Lanka,Bangladesh,male,2017/18,43169,Nidahas Trophy,3,"R.Premadasa Stadium, Khettarama",Colombo,Bangladesh,field,Mushfiqur Rahim,REJ Martinesz,RR Wimalasiri,ID Gunawardene,LE Hannibal,BC Broad,Bangladesh,0,5
1133820,Sri Lanka,India,male,2017/18,43171,Nidahas Trophy,4,"R.Premadasa Stadium, Khettarama",Colombo,India,field,SN Thakur,REJ Martinesz,LE Hannibal,ID Gunawardene,RR Wimalasiri,BC Broad,India,0,6
1133821,India,Bangladesh,male,2017/18,43173,Nidahas Trophy,5,"R.Premadasa Stadium, Khettarama",Colombo,Bangladesh,field,RG Sharma,REJ Martinesz,RR Wimalasiri,LE Hannibal,RSA Palliyaguruge,BC Broad,India,17,0
1133822,Sri Lanka,Bangladesh,male,2017/18,43175,Nidahas Trophy,6,"R.Premadasa Stadium, Khettarama",Colombo,Bangladesh,field,Mahmudullah,RR Wimalasiri,RSA Palliyaguruge,LE Hannibal,REJ Martinesz,BC Broad,Bangladesh,0,2
1133823,Bangladesh,India,male,2017/18,43177,Nidahas Trophy,"R.Premadasa Stadium, Khettarama",Colombo,India,0,field,KD Karthik,RR Wimalasiri,RSA Palliyaguruge,LE Hannibal,REJ Martinesz,BC Broad,India,0,4
1134031,Zimbabwe,Afghanistan,male,2017/18,43136,Afghanistan tour of United Arab Emirates,1,Sharjah Cricket Stadium,0,Afghanistan,field,Mohammad Nabi,Bismillah Shinwari,Ahmed Shah Durrani,Izatullah Safi,Ahmed Shah Pakteen,RB Richardson,Afghanistan,0,5
1134032,Afghanistan,Zimbabwe,male,2017/18,43137,Afghanistan tour of United Arab Emirates,2,Sharjah Cricket Stadium,0,Zimbabwe,field,Mohammad Nabi,Ahmed Shah Durrani,Izatullah Safi,Bismillah Shinwari,Ahmed Shah Pakteen,RB Richardson,Afghanistan,17,0
1140069,Pakistan,West Indies,male,2018,43191,West Indies tour of Pakistan,1,National Stadium,Karachi,West Indies,field,Hussain Talat,Shozab Raza,Ahsan Raza,Rashid Riaz,Ahmed Shahab,DC Boon,Pakistan,143,0
1140070,Pakistan,West Indies,male,2018,43192,West Indies tour of Pakistan,2,National Stadium,Karachi,Pakistan,bat,Babar Azam,Ahmed Shahab,Shozab Raza,Khalid Mahmood,Ahsan Raza,DC Boon,Pakistan,82,0
1140071,West Indies,Pakistan,male,2018,43193,West Indies tour of Pakistan,3,National Stadium,Karachi,West Indies,bat,Fakhar Zaman,Aleem Dar,Ahsan Raza,Asif Yaqoob,Shozab Raza,DC Boon,Pakistan,0,8
