match_id,team1,team2,gender,season,date,event,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire,umpire,reserve_umpire,tv_umpire,match_referee,result,winner_by_runs,winner_by_wicket
1214671,Bangladesh,Zimbabwe,male,2019/20,43901,Zimbabwe tour of Bangladesh,2,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,field,Liton Das,Masudur Rahman,Gazi Sohel,Sharfuddoula,Tanvir Ahmed,JJ Crowe,Bangladesh,0,9
1216416,Afghanistan,Ireland,male,2019/20,43896,Ireland tour of India,1,Greater Noida Sports Complex Ground,Greater Noida,Ireland,bat,Rashid Khan,Bismillah Shinwari,Ahmed Shah Durrani,Izatullah Safi,Ahmed Shah Pakteen,RB Richardson,Afghanistan,11,0
1216417,Afghanistan,Ireland,male,2019/20,43898,Ireland tour of India,2,Greater Noida Sports Complex Ground,Greater Noida,Afghanistan,bat,Mujeeb Ur Rahman,Ahmed Shah Pakteen,Izatullah Safi,Ahmed Shah Durrani,Bismillah Shinwari,RB Richardson,Afghanistan,21,0
1216418,Afghanistan,Ireland,male,2019/20,43900,Ireland tour of India,3,Greater Noida Sports Complex Ground,Greater Noida,Ireland,bat,KJ O'Brien,Bismillah Shinwari,Ahmed Shah Pakteen,Izatullah Safi,Ahmed Shah Durrani,RB Richardson,Ireland,0,0
1223952,India,Australia,male,2020/21,44169,India tour of Australia,1,Manuka Oval,Canberra,Australia,field,YS Chahal,RJ Tucker,SAJ Craig,SJ Nogajski,P Wilson,DC Boon,India,11,0
1223953,Australia,India,male,2020/21,44171,India tour of Australia,2,Sydney Cricket Ground,Sydney,India,field,HH Pandya,P Wilson,SJ Nogajski,GA Abood,RJ Tucker,DC Boon,India,0,6
1223954,Australia,India,male,2020/21,44173,India tour of Australia,3,Sydney Cricket Ground,Sydney,India,field,MJ Swepson,GA Abood,RJ Tucker,SJ Nogajski,P Wilson,DC Boon,Australia,12,0
1233464,Zimbabwe,Pakistan,male,2020/21,44142,Zimbabwe tour of Pakistan,1,Rawalpindi Cricket Stadium,0,Zimbabwe,bat,Babar Azam,Asif Yaqoob,Aleem Dar,Shozab Raza,Rashid Riaz,Muhammad Javed,Pakistan,0,6
1233465,Zimbabwe,Pakistan,male,2020/21,44143,Zimbabwe tour of Pakistan,2,Rawalpindi Cricket Stadium,0,Pakistan,field,Haider Ali,Ahsan Raza,Rashid Riaz,Shozab Raza,Aleem Dar,Muhammad Javed,Pakistan,0,8
1233466,Zimbabwe,Pakistan,male,2020/21,44145,Zimbabwe tour of Pakistan,3,Rawalpindi Cricket Stadium,0,Zimbabwe,bat,Usman Qadir,Aleem Dar,Ahsan Raza,Shozab Raza,Asif Yaqoob,Muhammad Javed,Pakistan,0,8
